problem,target,framework,model,activation,num_runs,num_train_sizes,num_seeds,min_m,max_m,best_relative_error,mean_relative_error,std_relative_error,mean_final_train_loss,mean_training_time_sec,total_training_time_sec
diffusion_log_d4,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0084262946620583,0.1848290684145121,0.2891240568327657,7.606858552156566e-07,272.9818292803575,45860.94731910006
diffusion_log_d4,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0109719336032867,0.17078854472908586,0.23582783478030114,6.892920888882751e-07,87.76104286309506,14743.85520099997
diffusion_log_d4,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0303216837346553,0.24289232441445896,0.21127103610943934,1.5933208026180659e-06,106.90884268214324,17960.685570600064
diffusion_log_d4,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0453366935253143,0.30505246748881676,0.21570837499819853,4.975278990909396e-07,145.61004042380964,24462.48679120002
diffusion_log_d4,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.0507349371910095,0.19117967458441848,0.10318127477199303,5.007707968507887e-07,162.20266866785718,27250.04833620001
diffusion_log_d8,u,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0090321591123938,0.3546042606522817,0.40085742089575876,1.3897911971737033e-06,130.49020814583318,21922.354968499974
diffusion_log_d8,u,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0107552763074636,0.3380128780845552,0.5114143362149802,2.4212450934360926e-06,141.1598913142831,23714.861740799563
diffusion_log_d8,u,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0204990487545728,0.35518050057414385,0.4673933269429472,1.912647724517618e-06,499.19433671726335,83864.64856850024
diffusion_log_d8,u,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0825947448611259,0.3544921082488837,0.19092514244062642,9.364101831213897e-06,126.28856789999693,21216.479407199484
diffusion_log_d8,u,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.1365486085414886,0.2500218969015848,0.06555782340036413,7.871160992830742e-07,436.7635920464295,73376.28346380015
diffusion_log_d8,u,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.1688352227210998,0.509553939991054,0.28087370792411365,6.523071132982122e-07,386.5016207142852,64932.27227999992
diffusion_log_d8,u,pytorch,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0091261537745594,0.35496877914383296,0.39705004190332027,1.3950177631050748e-06,98.64047794821428,16571.6002953
diffusion_log_d8,u,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0103867435827851,0.3336710849932084,0.5229009839278831,2.500782639932216e-06,102.30436913273748,17187.134014299896
diffusion_log_d8,u,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0207786671817302,0.35877226223237807,0.45156876023760223,2.029346771472601e-06,278.3510610761909,46762.97826080007
diffusion_log_d8,u,pytorch,mlp_4x40_relu,relu,168,14,12,10,500,0.0804944485425949,0.3557417017097274,0.19770612834146198,1.3531557575520634e-05,97.78254391666728,16427.467378000103
diffusion_log_d8,u,pytorch,mlp_10x100_relu,relu,168,14,12,10,500,0.1380492746829986,0.2506128507001059,0.06457872173237447,8.159252974424124e-07,249.642359224405,41939.91634970004
diffusion_log_d8,u,pytorch,mlp_10x100_tanh,tanh,168,14,12,10,500,0.1673913151025772,0.4985409387875171,0.2802631807311333,6.621185738099809e-07,211.44646970297626,35523.00691010001
nsb_affine_d4,p,jax,mlp_10x100_elu,elu,168,14,12,10,500,0.0140713853761553,0.3048124635104267,0.5603259138394648,4.94208935498093e-06,51.603695414285106,8669.420829599898
nsb_affine_d4,p,jax,mlp_4x40_elu,elu,168,14,12,10,500,0.0155072221532464,0.23028237114860006,0.44723236477911843,4.9933168985002596e-06,9.841841978573592,1653.4294524003635
nsb_affine_d4,p,jax,mlp_4x40_tanh,tanh,168,14,12,10,500,0.0174384303390979,0.21493681535745657,0.33382695394248973,4.989459301084155e-06,6.607334868451289,1110.0322578998166
nsb_affine_d4,p,jax,mlp_4x40_relu,relu,168,14,12,10,500,0.0197590552270412,0.2715747821521723,0.26896345520517057,4.998698170224781e-06,6.13528893511795,1030.7285410998156
nsb_affine_d4,p,jax,mlp_10x100_relu,relu,168,14,12,10,500,0.031435951590538,0.2425962933339178,0.15366328038787777,4.992852923567712e-06,13.075358647619266,2196.6602528000367
nsb_affine_d4,p,jax,mlp_10x100_tanh,tanh,168,14,12,10,500,0.0330132283270359,0.4407790392149417,0.35900440779772264,4.909991042993733e-06,28.987906312499987,4869.968260499998
nsb_affine_d4,p,pytorch,mlp_10x100_elu,elu,168,14,12,10,500,0.0138782802969217,0.3115140403332632,0.5808864763019072,4.94652453296242e-06,31.187411827976014,5239.48518709997
nsb_affine_d4,p,pytorch,mlp_4x40_elu,elu,168,14,12,10,500,0.0156626310199499,0.22822197616499446,0.44413630220841077,4.99192009870274e-06,12.915425508928214,2169.79148549994
